"","indicator","p value","test type","dependent.var.value","independent.var.value","numbers","se","min","max"
"284","desired intervention",0.582598037946783,"Pearson's X^2: Rao & Scott adjustment","Warning Systems","Male",0.0016007041388477,NA,NA,NA
"150","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0","Female",0.943101215030933,NA,NA,NA
"236","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,034482759","Female",0,NA,NA,NA
"328","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,060344828","Female",0,NA,NA,NA
"426","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,068965517","Female",0,NA,NA,NA
"523","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,103448276","Female",0.00514966770484665,NA,NA,NA
"623","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,112068966","Female",0,NA,NA,NA
"723","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,146551724","Female",0.00514966770484665,NA,NA,NA
"823","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,215517241","Female",0,NA,NA,NA
"921","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,25862069","Female",0.00514966770484665,NA,NA,NA
"1013","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,370689655","Female",0,NA,NA,NA
"1118","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,534482759","Female",0,NA,NA,NA
"1215","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","1","Female",0.0414497818545267,NA,NA,NA
"1312","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0","Male",0.958833544197619,NA,NA,NA
"1411","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,034482759","Male",0.0016007041388477,NA,NA,NA
"1510","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,060344828","Male",0.0016007041388477,NA,NA,NA
"1610","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,068965517","Male",0.0016007041388477,NA,NA,NA
"179","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,103448276","Male",0.0032014082776954,NA,NA,NA
"189","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,112068966","Male",0.0016007041388477,NA,NA,NA
"198","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,146551724","Male",0,NA,NA,NA
"208","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,215517241","Male",0.0016007041388477,NA,NA,NA
"2116","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,25862069","Male",0,NA,NA,NA
"2212","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,370689655","Male",0.0016007041388477,NA,NA,NA
"237","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","0,534482759","Male",0.0016007041388477,NA,NA,NA
"245","  1",0.609445754647496,"Pearson's X^2: Rao & Scott adjustment","1","Male",0.0267601185527517,NA,NA,NA
"Female7","how do you usually treat your drinking water  leave bottled water in the sun solar disinfection",0.690333651795333,"two sample ttest on difference in means (two sided)",NA,"Female",0.0192009008277994,0.0135183386539799,-0.00729455606481689,0.0456963577204157
"Male7","how do you usually treat your drinking water  leave bottled water in the sun solar disinfection",0.690333651795333,"two sample ttest on difference in means (two sided)",NA,"Male",0.0132353221819993,0.00613212453469113,0.00121657894529025,0.0252540654187084
"160","did you spot at least one of the treatment materials in the household   enumerator observation ",0.0946213947944989,"Pearson's X^2: Rao & Scott adjustment","Enumerator couldn't observe (interview conducted outside)","Female",0.0391988827976202,NA,NA,NA
"238","did you spot at least one of the treatment materials in the household   enumerator observation ",0.0946213947944989,"Pearson's X^2: Rao & Scott adjustment","No","Female",0.23050003359087,NA,NA,NA
"329","did you spot at least one of the treatment materials in the household   enumerator observation ",0.0946213947944989,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",0.73030108361151,NA,NA,NA
"427","did you spot at least one of the treatment materials in the household   enumerator observation ",0.0946213947944989,"Pearson's X^2: Rao & Scott adjustment","Enumerator couldn't observe (interview conducted outside)","Male",0.0675298044527126,NA,NA,NA
"524","did you spot at least one of the treatment materials in the household   enumerator observation ",0.0946213947944989,"Pearson's X^2: Rao & Scott adjustment","No","Male",0.146408119955059,NA,NA,NA
"624","did you spot at least one of the treatment materials in the household   enumerator observation ",0.0946213947944989,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",0.786062075592229,NA,NA,NA
"170","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Communal latrine","Female",0.738722815214445,NA,NA,NA
"239","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Household latrine","Female",0.0162114764814147,NA,NA,NA
"330","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Open defecation","Female",0,NA,NA,NA
"428","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Other","Female",0.00110074683694787,NA,NA,NA
"525","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Plastic bag","Female",0.00110074683694787,NA,NA,NA
"625","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Shared household/family latrine","Female",0.242864214630245,NA,NA,NA
"724","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Communal latrine","Male",0.724222371668091,NA,NA,NA
"824","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Household latrine","Male",0.014197229983822,NA,NA,NA
"922","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Open defecation","Male",0.00505079514299362,NA,NA,NA
"1014","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Other","Male",0,NA,NA,NA
"1119","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Plastic bag","Male",0.000506483664670367,NA,NA,NA
"1216","where do you and your family usually go to defecate ",0.192072987294911,"Pearson's X^2: Rao & Scott adjustment","Shared household/family latrine","Male",0.256023119540423,NA,NA,NA
"Female8","what is are the problem s  related to the latrine if any  there is not enough facilities too crowded",0.358132622502035,"two sample ttest on difference in means (two sided)",NA,"Female",0.304445155329821,0.0160110741401718,0.273064026661284,0.335826283998358
"Male8","what is are the problem s  related to the latrine if any  there is not enough facilities too crowded",0.358132622502035,"two sample ttest on difference in means (two sided)",NA,"Male",0.28672821615017,0.00992119661461563,0.267283028101983,0.306173404198358
"Female9","what is are the problem s  related to the latrine if any  absence insufficiency of water",0.773283174746444,"two sample ttest on difference in means (two sided)",NA,"Female",0.149089989555134,0.0125920650256545,0.124409995613865,0.173769983496403
"Male9","what is are the problem s  related to the latrine if any  absence insufficiency of water",0.773283174746444,"two sample ttest on difference in means (two sided)",NA,"Male",0.144807942831437,0.00770921854865793,0.129698152127119,0.159917733535755
"Female10","what is are the problem s  related to the latrine if any  latrines are unclean unhygienic",0.103083097072405,"two sample ttest on difference in means (two sided)",NA,"Female",0.236725207229986,0.0152847412415387,0.206767664883556,0.266682749576416
"Male10","what is are the problem s  related to the latrine if any  latrines are unclean unhygienic",0.103083097072405,"two sample ttest on difference in means (two sided)",NA,"Male",0.207670949478158,0.00902848578032377,0.189975442513791,0.225366456442524
"Female11","what is are the problem s  related to the latrine if any  lack of privacy no separation between men and women",0.0153624679696976,"two sample ttest on difference in means (two sided)",NA,"Female",0.248659197951823,0.0151390492799707,0.218987206602903,0.278331189300742
"Male11","what is are the problem s  related to the latrine if any  lack of privacy no separation between men and women",0.0153624679696976,"two sample ttest on difference in means (two sided)",NA,"Male",0.205661964621029,0.00899735902673011,0.188027464972662,0.223296464269396
"Female12","what is are the problem s  related to the latrine if any  it is not safe  no door  no lock  etc  ",0.412600647899464,"two sample ttest on difference in means (two sided)",NA,"Female",0.0869200311234175,0.00974327565057168,0.067823561756851,0.106016500489984
"Male12","what is are the problem s  related to the latrine if any  it is not safe  no door  no lock  etc  ",0.412600647899464,"two sample ttest on difference in means (two sided)",NA,"Male",0.0774188403486311,0.00603900997602698,0.0655825982933401,0.0892550824039221
"Female13","what is are the problem s  related to the latrine if any  toilet is full",0.15409830319736,"two sample ttest on difference in means (two sided)",NA,"Female",0.198637335186197,0.0142877460767857,0.170633867455443,0.22664080291695
"Male13","what is are the problem s  related to the latrine if any  toilet is full",0.15409830319736,"two sample ttest on difference in means (two sided)",NA,"Male",0.223224857731574,0.00936601553387281,0.204867804606541,0.241581910856608
"Female14","what is are the problem s  related to the latrine if any  no problems with latrines",0.334324289046324,"two sample ttest on difference in means (two sided)",NA,"Female",0.371464961353674,0.0168656307352974,0.338408932535939,0.404520990171409
"Male14","what is are the problem s  related to the latrine if any  no problems with latrines",0.334324289046324,"two sample ttest on difference in means (two sided)",NA,"Male",0.391062953272875,0.0108399655778855,0.369817011146565,0.412308895399184
"Female15","what is are the problem s  related to the latrine if any  too far away",0.169771808170381,"two sample ttest on difference in means (two sided)",NA,"Female",0.153294714709901,0.0131293443631451,0.127561672617513,0.17902775680229
"Male15","what is are the problem s  related to the latrine if any  too far away",0.169771808170381,"two sample ttest on difference in means (two sided)",NA,"Male",0.132329560435624,0.00772882525945754,0.117181341284284,0.147477779586964
"Female16","what is are the problem s  related to the latrine if any  too difficult to access  steep slope  broken steps ",0.533795422465789,"two sample ttest on difference in means (two sided)",NA,"Female",0.0192737588814201,0.00502047412583593,0.0094338104094665,0.0291137073533738
"Male16","what is are the problem s  related to the latrine if any  too difficult to access  steep slope  broken steps ",0.533795422465789,"two sample ttest on difference in means (two sided)",NA,"Male",0.0230268155496083,0.00325547066582139,0.0166462102918718,0.0294074208073449
"Female17","what is are the problem s  related to the latrine if any  other",0.209994248701493,"two sample ttest on difference in means (two sided)",NA,"Female",0.00246359766821902,0.00181433938283885,-0.00109244217787775,0.00601963751431579
"Male17","what is are the problem s  related to the latrine if any  other",0.209994248701493,"two sample ttest on difference in means (two sided)",NA,"Male",0.000177851586866584,0.000177851421638463,-0.000170730794144052,0.00052643396787722
"Female18","what is are the problem s  related to the latrine if any  i don t know",0.25370696590846,"two sample ttest on difference in means (two sided)",NA,"Female",0.00212602375347465,0.00151858911689821,-0.000850356222960326,0.00510240372990962
"Male18","what is are the problem s  related to the latrine if any  i don t know",0.25370696590846,"two sample ttest on difference in means (two sided)",NA,"Male",0.000346130899609225,0.00034611117647136,-0.000332234540921427,0.00102449634013988
"180","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0.00408744121344705,NA,NA,NA
"240","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","No","Female",0.492470427526311,NA,NA,NA
"332","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","Yes (enumerator didn't see soap/ could not observe because interview was outside)","Female",0.0576306890996787,NA,NA,NA
"429","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","Yes (enumerator saw soap)","Female",0.445811442160563,NA,NA,NA
"526","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.00243925315909465,NA,NA,NA
"626","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","No","Male",0.40761929106328,NA,NA,NA
"725","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","Yes (enumerator didn't see soap/ could not observe because interview was outside)","Male",0.0619419984211237,NA,NA,NA
"825","do you have soap in your household ",0.000540330872568403,"Pearson's X^2: Rao & Scott adjustment","Yes (enumerator saw soap)","Male",0.527999457356502,NA,NA,NA
"190","please show me the facility where you and your family members bathe ",0.655379109932677,"Pearson's X^2: Rao & Scott adjustment","Do not have a designated bathing facility","Female",0.494907805925652,NA,NA,NA
"246","please show me the facility where you and your family members bathe ",0.655379109932677,"Pearson's X^2: Rao & Scott adjustment","Enumerator couldn't observe (interview conducted outside)","Female",0.00276811190285132,NA,NA,NA
"333","please show me the facility where you and your family members bathe ",0.655379109932677,"Pearson's X^2: Rao & Scott adjustment","Have designated shower/bathing facility","Female",0.502324082171496,NA,NA,NA
"430","please show me the facility where you and your family members bathe ",0.655379109932677,"Pearson's X^2: Rao & Scott adjustment","Do not have a designated bathing facility","Male",0.478071456950725,NA,NA,NA
"527","please show me the facility where you and your family members bathe ",0.655379109932677,"Pearson's X^2: Rao & Scott adjustment","Enumerator couldn't observe (interview conducted outside)","Male",0.0020915109671475,NA,NA,NA
"627","please show me the facility where you and your family members bathe ",0.655379109932677,"Pearson's X^2: Rao & Scott adjustment","Have designated shower/bathing facility","Male",0.519837032082127,NA,NA,NA
"199","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with bamboo lattice walls covered in plastic sheeting","Female",0.6927821903571,NA,NA,NA
"247","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with bamboo matting walls","Female",0.189839391568889,NA,NA,NA
"334","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with combination of bamboo lattice walls and mud walls","Female",0.0334894742001116,NA,NA,NA
"431","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with external mud walls","Female",0.0740970082302211,NA,NA,NA
"528","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bricks and cement","Female",0.00181048186920034,NA,NA,NA
"628","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0,NA,NA,NA
"726","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","I don’t want to answer","Female",0,NA,NA,NA
"826","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Other","Female",0.00798145377447803,NA,NA,NA
"923","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with bamboo lattice walls covered in plastic sheeting","Male",0.687201050674736,NA,NA,NA
"1015","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with bamboo matting walls","Male",0.1722460375877,NA,NA,NA
"1120","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with combination of bamboo lattice walls and mud walls","Male",0.0389418515167642,NA,NA,NA
"1217","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bamboo frame with external mud walls","Male",0.092267390276776,NA,NA,NA
"1313","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Bricks and cement","Male",0,NA,NA,NA
"1412","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.000576314967387837,NA,NA,NA
"1511","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","I don’t want to answer","Male",0.000576314967387837,NA,NA,NA
"1611","what building material was used to construct the frame walls of the shelter the family currently lives in ",0.280902842184303,"Pearson's X^2: Rao & Scott adjustment","Other","Male",0.00819104000924819,NA,NA,NA
"1100","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Bamboo with tin","Female",0.643130943147531,NA,NA,NA
"248","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Cgi sheet up terpaling","Female",0,NA,NA,NA
"335","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","CIG","Female",0.205154874894083,NA,NA,NA
"432","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","ENT","Female",0,NA,NA,NA
"529","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tent","Female",0,NA,NA,NA
"629","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tin","Female",0.151714181958386,NA,NA,NA
"727","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tin & Bamboo","Female",0,NA,NA,NA
"827","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tin & Timber","Female",0,NA,NA,NA
"924","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Bamboo with tin","Male",0.0897094110738601,NA,NA,NA
"1016","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Cgi sheet up terpaling","Male",0.0634871796795999,NA,NA,NA
"1121","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","CIG","Male",0.0429251380339611,NA,NA,NA
"1218","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","ENT","Male",0.139784361216537,NA,NA,NA
"1314","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tent","Male",0.279568722433075,NA,NA,NA
"1413","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tin","Male",0.1269743593592,NA,NA,NA
"1512","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tin & Bamboo","Male",0.107312845084903,NA,NA,NA
"1612","what building material was used to construct the frame walls of the shelter the family currently lives in  1",0.216138035937262,"Pearson's X^2: Rao & Scott adjustment","Tin & Timber","Male",0.150237983118864,NA,NA,NA
"1101","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Bamboo","Female",0.0278199913384325,NA,NA,NA
"249","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Bricks and cement","Female",0,NA,NA,NA
"336","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0,NA,NA,NA
"433","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Other","Female",0.00465871383298086,NA,NA,NA
"530","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Sheet metal/corrugated galvanised iron (CGI)","Female",0.0231683604989523,NA,NA,NA
"630","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Tarpaulin with plastic sheeting","Female",0.944352934329634,NA,NA,NA
"728","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Bamboo","Male",0.0550685048844688,NA,NA,NA
"828","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Bricks and cement","Male",0.000318848800773713,NA,NA,NA
"925","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",1.7042298800929e-05,NA,NA,NA
"1017","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Other","Male",0.00259735024659338,NA,NA,NA
"1122","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Sheet metal/corrugated galvanised iron (CGI)","Male",0.00961738957187012,NA,NA,NA
"1219","what building material was used to construct the roof of the shelter the family currently lives in ",0.000794706050109512,"Pearson's X^2: Rao & Scott adjustment","Tarpaulin with plastic sheeting","Male",0.932380864197493,NA,NA,NA
"1102","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","ENT","Female",0,NA,NA,NA
"250","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","Teen","Female",0.666666666666667,NA,NA,NA
"337","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","Tent","Female",0,NA,NA,NA
"434","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","Tin","Female",0.333333333333333,NA,NA,NA
"531","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","ENT","Male",0.288187514504525,NA,NA,NA
"631","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","Teen","Male",0.282416647327299,NA,NA,NA
"729","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","Tent","Male",0.288187514504525,NA,NA,NA
"829","what building material was used to construct the roof of the shelter the family currently lives in  1",0.635917679041284,"Pearson's X^2: Rao & Scott adjustment","Tin","Male",0.14120832366365,NA,NA,NA
"1103","does your family pay money to live in this shelter ",0.00292317417966224,"Pearson's X^2: Rao & Scott adjustment","No","Female",0.926880897272134,NA,NA,NA
"255","does your family pay money to live in this shelter ",0.00292317417966224,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",0.073119102727866,NA,NA,NA
"338","does your family pay money to live in this shelter ",0.00292317417966224,"Pearson's X^2: Rao & Scott adjustment","No","Male",0.953884736918994,NA,NA,NA
"435","does your family pay money to live in this shelter ",0.00292317417966224,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",0.0461152630810065,NA,NA,NA
"1104","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","1001 - 1500 BDT","Female",0.0479907396270783,NA,NA,NA
"256","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","200 BDT or less","Female",0.175604287883211,NA,NA,NA
"339","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","201 - 500 BDT","Female",0.236464049739264,NA,NA,NA
"436","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","501 - 1000 BDT","Female",0.126486482201219,NA,NA,NA
"532","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","I don't want to answer","Female",0.0532373156634792,NA,NA,NA
"632","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","More than 1500 BDT","Female",0.360217124885748,NA,NA,NA
"730","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","1001 - 1500 BDT","Male",0.0188115822297166,NA,NA,NA
"830","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","200 BDT or less","Male",0.105962721083577,NA,NA,NA
"926","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","201 - 500 BDT","Male",0.517950935821604,NA,NA,NA
"1018","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","501 - 1000 BDT","Male",0.0816281319412898,NA,NA,NA
"1123","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","I don't want to answer","Male",0.195568776503787,NA,NA,NA
"1220","if yes  approximately how much do you pay each month ",0.0236209139612631,"Pearson's X^2: Rao & Scott adjustment","More than 1500 BDT","Male",0.0800778524200256,NA,NA,NA
"1105","has your family received a non food item  nfi  kit since arriving to bangladesh ",0.431002393237805,"Pearson's X^2: Rao & Scott adjustment","No","Female",0.172668070695549,NA,NA,NA
"257","has your family received a non food item  nfi  kit since arriving to bangladesh ",0.431002393237805,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",0.827331929304451,NA,NA,NA
"340","has your family received a non food item  nfi  kit since arriving to bangladesh ",0.431002393237805,"Pearson's X^2: Rao & Scott adjustment","No","Male",0.185198848581301,NA,NA,NA
"437","has your family received a non food item  nfi  kit since arriving to bangladesh ",0.431002393237805,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",0.814801151418699,NA,NA,NA
"1106","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","Cooking gas cylinder","Female",0.0696541971570401,NA,NA,NA
"258","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","Firewood purchased","Female",0.0898520773258455,NA,NA,NA
"342","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","Firewood self-collected","Female",0.840493725517114,NA,NA,NA
"438","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0,NA,NA,NA
"533","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","Cooking gas cylinder","Male",0.0579887101279295,NA,NA,NA
"633","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","Firewood purchased","Male",0.0763254334392886,NA,NA,NA
"731","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","Firewood self-collected","Male",0.865367007632008,NA,NA,NA
"831","what is the main source of fuel your family uses for cooking ",0.295988419325203,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.000318848800773713,NA,NA,NA
"1107","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0,NA,NA,NA
"259","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","In a communal cooking facility","Female",0.00400158501953873,NA,NA,NA
"343","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","In an open space outside the shelter (private)","Female",0.0638960741611429,NA,NA,NA
"439","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","Inside the shelter","Female",0.932102340819318,NA,NA,NA
"534","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","We have not cooked food","Female",0,NA,NA,NA
"634","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.000587927744594016,NA,NA,NA
"732","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","In a communal cooking facility","Male",0.00191603019287226,NA,NA,NA
"832","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","In an open space outside the shelter (private)","Male",0.0599984901272957,NA,NA,NA
"927","where does your family cook ",0.739964876172885,"Pearson's X^2: Rao & Scott adjustment","Inside the shelter","Male",0.937178703134464,NA,NA,NA
