type,label,name,hint,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,kuid
select_one yes_no,member_violence,Has anyone in the community has been threatenedCOMMA intimidatedCOMMA or experienced violence at any point in the last 3 months?,Saddexdii bilood ee lasoo dhaafayCOMMA ma jiraa qof bulshada ka tirsan oo loo hanjabayCOMMA ama ay ku dhacday wax xad gudub ah?,TRUE,,,,,,,
select_multiple violence,violence_type,What violence has been experienced?,Sheega nooca tacadiga ama xad gudubka loo geystay qofka/dadka?,TRUE,selected(${member_violence}COMMA'yes'),,not(selected(.COMMA'no_answer') and (selected(.COMMA'beating') or selected(.COMMA'gbv') or selected(.COMMA'other'))),"cannot select ""Chose not to answer"" and any other option",,,
text,violence_type_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${violence_type}COMMA'other'),,,,,,
select_one yes_no,lost_belongings,Has anyone in the community had their  belongings taken from them at any point in the last 3 months?,Saddexdii bilood ee lasoo dhaafayCOMMA ma jiraa qof bulshada ka tirsan oo laga qaatay waxa ay leeyhiin?,TRUE,,,,,,,
select_multiple belongings_lost,lost_belongings_how,If belongings were lost in the last 3 monthsCOMMA how did it happen?,Haddii ay jiraan hanti lumay 3 bilood ee la soo dhaafayCOMMA sidee bay tani u dhacday?,TRUE,selected(${lost_belongings}COMMA'yes'),,,,,,
text,lost_belongings_how_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${lost_belongings_how}COMMA'other'),,,,,,
select_one yes_no,free_movement,Are people able to move freely in this community and the surrounding area?,Dadka si xuriyad leh ma u socon karaan bulshada dhexdeeda iyo hareeraha?,TRUE,,,,,,,
select_multiple movement_restrictions,movement_restrictions,What are the limits to free movement?,Maxaa xadidaaya socodka xurta ah ee meesha?,TRUE,selected(${free_movement}COMMA'no'),,,,,,
text,movement_restrictions_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${movement_restrictions}COMMA'other'),,,,,,
select_one yes_no,hh_insecurity,Has anyone in the community felt or feared insecurity at any point in the last 3 months?,Saddexdii bilood ee lasoo dhaafayCOMMA ma jiraa qof bulshada ka tirsan oo dareemay cabsi ama amaan daro?,TRUE,,,,,,,
select_multiple insecurity_cause,hh_insecurity_cause,Is the insecurity the result of any of the following groups?,Ammaan darada ma waxay ka dhalatay kuwan soo socda qaarkood?,TRUE,,,not(selected(.COMMA'none') and (selected(.COMMA'local_militias') or selected(.COMMA'family_members') or selected(.COMMA'amisom') or selected(.COMMA'clan_conflict') or selected(.COMMA'criminals') or selected(.COMMA'snf') or selected(.COMMA'community_leaders') or selected(.COMMA'police') or selected(.COMMA'gatekeepers') or selected(.COMMA'other'))),"cannot select ""none"" and any other option",,,
text,hh_insecurity_cause_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${hh_insecurity_cause}COMMA'other'),,,,,,
select_one yes_no,not_safe_men_boys,Are there areas where men and/ or boys do not feel safe?,Ma jiraan meelo wiilasha iyo nimanka aysan ammaan ku heysan?,TRUE,,,,,,,
select_multiple unsafe_areas,not_safe_men_boys_where,Where do men and boys not feel safe?,Waa xagee meelaha wiilasha iyo nimanka aysan ammaanka ku heysan?,TRUE,selected(${not_safe_men_boys}COMMA'yes'),,not(selected(.COMMA'no_answer') and (selected(.COMMA'shelters') or selected(.COMMA'camp_areas') or selected(.COMMA'waterpoint') or selected(.COMMA'latrines') or selected(.COMMA'bathing_areas') or selected(.COMMA'market') or selected(.COMMA'school') or selected(.COMMA'health_centre') or selected(.COMMA'feeding_distribution_point') or selected(.COMMA'other'))),"cannot select ""Chose not to answer"" and any other option",,,
text,not_safe_men_boys_where_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${not_safe_men_boys_where}COMMA'other'),,,,,,
select_one yes_no,not_safe_women_girls,Are there areas where women and/ or girls do not feel safe?,Ma jiraan meelo gabdhaha iyo naagaha aysan ammaan ku heysan?,TRUE,,,,,,,
select_multiple unsafe_areas,not_safe_women_girls_where,Where do women and girls not feel safe?,Waa xagee meelaha gabdhaha iyo naagaha aysan ammaanka ku heysan?,TRUE,selected(${not_safe_women_girls}COMMA'yes'),,not(selected(.COMMA'no_answer') and (selected(.COMMA'shelters') or selected(.COMMA'camp_areas') or selected(.COMMA'waterpoint') or selected(.COMMA'latrines') or selected(.COMMA'bathing_areas') or selected(.COMMA'market') or selected(.COMMA'school') or selected(.COMMA'health_centre') or selected(.COMMA'feeding_distribution_point') or selected(.COMMA'other'))),"cannot select ""Chose not to answer"" and any other option",,,
text,not_safe_women_girls_where_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${not_safe_women_girls_where}COMMA'other'),,,,,,
select_one host_relations,relations_host,How would you describe relations with the host community?,Waa sidee xiriirka idinka dhaxeeya dadka deegaanka?,TRUE,,,,,,,
select_multiple reason_tensions,bad_relations_reason,If you think the relations with the host community are bad or very badCOMMA why are relations bad between displaced and host communities?,Haddii aad u malayneyso in xiriirka aad la leedihiin dadka deegaanka mid xun ama aad u xunCOMMA waa maxay sababta uu u xun yahay xiriirka ka dhexeeyo barakacayaasha iyo dadka deegaanka?,TRUE,selected(${relations_host}COMMA'bad') or selected(${relations_host}COMMA'very_bad'),,,,,,
text,bad_relations_reason_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${bad_relations_reason}COMMA'other'),,,,,,
end_group,,,,,,,,,,,
begin_group,F,Living conditions,XAALADAHA NOLOSHA,,,,,,,,
select_multiple collects_water,water_who_collects,Who normally collects water for the household?,Yaa biyaha usoo dhaamiya qoyska xilli walba?,TRUE,,,,,,,
text,water_who_collects_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${water_who_collects}COMMA'other'),,,,,,
select_one distance,water_distance,How long by foot is the nearest water point from your household?,Imisa ayaa loo lugeynayaa goobaha goobta biyaha laga soo dhaansado?,TRUE,,,,,,,
select_one yes_no,water_distance_change,Has the distance travelled to collect water increased in the last six months?,Lixdii bil ee lasoo dhaafayCOMMA wax is bedel ah miyaa ku dhacay masaafada aad jarto si aad biyo u soo dhaansato?,TRUE,,,,,,,
select_one latrine_type,latrine_type,What type of latrine does your household have access to?,Musqul noocee ayuu qoyskaaga isticmaalaa?,TRUE,,,,,,,
select_one yes_no,latrine_segregated,Are latrines separated by gender?,Musqulaha ma u kala soocan yihiin Rag iyo dumar?,TRUE,selected(${latrine_type}COMMA'communal'),,,,,,
select_one yes_no,latrines_lockable,Are latrines lockable from the inside?,Musqulaha maka xirmi karaan gudaha?,TRUE,"not(selected(${latrine_type}COMMA""none""))",,,,,,
select_one distance,latrine_distance,How far are latrines from your household?,Suuliga ilaa intee ayuu idiin jiraa?,TRUE,"not(selected(${latrine_type}COMMA""none""))",,,,,,
select_one yes_no,bathing_facilities,Do you have access to bathing facilities?,Ma heli kartaa goobta lagu quweesto/meedho jirka?,TRUE,"not(selected(${latrine_type}COMMA""none""))",,,,,,
select_one yes_no,bathing_segregated,Are bathing facilities separated by gender?,Goobaha lagu quweesto/meydho jirka ma u kala soocan yihiin rag iyo dumar?,TRUE,selected(${bathing_facilities}COMMA'yes'),,,,,,
select_one distance,bathing_distance,How far on foot are bathing facilities from your household?,Imisa ayaa loo lugeynayaa goobaha lagu quweysto/meydho jirka?,TRUE,selected(${bathing_facilities}COMMA'yes'),,,,,,
integer,shelter_number_people,How many people currently live in your shelter?,Imisa qof ayaa ku nool aqalkaaga?,TRUE,,,.>=0 and .<=${total_hh},Not more than the total members of the household,,,
select_one yes_no,shelter_shared,Do multiple families share your shelter?,Qoysas kala duwan miyaa kula degan aqalka/guriga?,TRUE,,,,,,,
select_one yes_no,internal_separation,Is there internal separation within the shelter?,Ma jiraa kala asturnaasho gudaha guriga?,TRUE,,,,,,,
select_one internal_separation,internal_separation_type,What type of internal separation,Waa noocee kala asturnaashaha ka jira gudaha guriga?,TRUE,selected(${internal_separation}COMMA'yes'),,,,,,
text,internal_separation_type_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${internal_separation_type}COMMA'other'),,,,,,
select_one yes_no,light_night,Is there a source of light at night?,Guriga ma leeyahay iftiin habeenkii?,TRUE,,,,,,,
select_one yes_no,shelter_lockable,Can you lock your shelter?,Aqalkaaga ma xiran kartaa?,TRUE,,,,,,,
select_one yes_no,adequate_food,Is your household currently able to access enough food?,Qoyskaaga ma heli karaan ama helaan cunto ku filan?,TRUE,,,,,,,
select_multiple coping_strategies,coping_strategies,Has your household used any of the following coping strategies in the past month to respond to a lack of food?,Qoyskaaga ma isticmaaley midka ka mid ah qaababkaan cunto la'aan jirta awgeed?,TRUE,selected(${adequate_food}COMMA'no'),,,,,,
end_group,,,,,,,,,,,
begin_group,G,Exclusion,,,,,,,,,
select_multiple vulnerable_groups,excluded_groups,Are there any groups or individuals in the community that are unable to access basic services? ,Ma jiraan qeybo/shakhsiyaad ka mid ah bulshada oo aan awoodin inay helaan adeegyada aasaasiga ah?,TRUE,,,not(selected(${excluded_groups}COMMA'none') and (selected(${excluded_groups}COMMA'widows') or selected(${excluded_groups}COMMA'phys_dis_women') or selected(${excluded_groups}COMMA'phys_dis_men') or selected(${excluded_groups}COMMA'ment_dis_women') or selected(${excluded_groups}COMMA'ment_dis_men') or selected(${excluded_groups}COMMA'elderly_women') or selected(${excluded_groups}COMMA'elderly_men') or selected(${excluded_groups}COMMA'female_households') or selected(${excluded_groups}COMMA'child_households'))),"cannot select ""none"" and any other option",,,
select_multiple why_excluded,why_excluded ,If yesCOMMA why? ,Haddii jawaabtu haa tahayCOMMA sheeg sababta?,TRUE,selected(${excluded_groups}COMMA'yes'),,,,,,
select_multiple services_excluded,services_excluded,What services are people most commonly excluded from? ,Sheeg adeegyada ay dadka inta badan helin?,TRUE,selected(${excluded_groups}COMMA'yes'),,,,,,
select_one y_n_dk,aid_violence,Do you know of any time that delivery of humanitarian assistance has caused conflict or violence in the community? ,Ma jirtaa xilli ay dhacday in kaalmada/caawinaada ay sabab u aheyd isku dhac ama xad gudub ka dhex dhacay bulshada dhexdeeda?,TRUE,,,,,,,
select_multiple services_excluded,aid_violence_types,If yesCOMMA which types of assisstance? ,Sheeg nooca kaalmada/caawinaada?,TRUE,selected(${aid_violence}COMMA'yes'),,,,,,
text,aid_violence_types_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex:,TRUE,selected(${aid_violence_types}COMMA'other'),,,,,,
end_group,,,,,,,,,,,
select_one yes_no,resp_contact_details,Are you able to provide us your contact details so as to contact you if you we would require further clarification on some of your answers? Please note that we will not share your contact information to anyone else.,,TRUE,,,,,,,
text,resp_name,What is the full name of the respondent?,Sheeg magaca qofka kuu jawaabaya?,TRUE,selected(${resp_contact_details}COMMA'yes'),,,,,,
text,resp_contact_numb,What is your primary phone number?,Sheeg telefoonka qofka kuu jawaabaya? Telefoonka uu qofka mar walba isticmaalo.,TRUE,selected(${resp_contact_details}COMMA'yes'),numbers,regex(.COMMA '^[0]{1}[0-9]{9}$'),Shoud be 10 digits and starts with 0,,,
begin_group,H,End of interview,DHAMAADKA WAREYSIGA,,,,,,,,
note,end_note,We have reached the end of the interview. Thank you for taking the time to talk to us today.,Wareysiga wuu inoo dhamaaday. Aad baad ugu mahadsan tahay waqtigaaga!,FALSE,,,,,,,
geopoint,gps,Please take the GPS coordinates of your location.,Fadlan qaad GPS-ka goobta aad warbixinta ka aruurineysid.,TRUE,,,,,,,
end_group,,,,,,,,,,,
